Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
APSRTC - 47087,INDRA(A.C. Seater),16:00,19:00,03h 00m,253,38,4.348,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
APSRTC - 5574,SAPTAGIRI EXPRESS,16:15,19:15,03h 00m,162,46,3.19,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
APSRTC - 47547,Express(Non AC Seater),16:30,19:30,03h 00m,162,37,3.8,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
APSRTC - 5369,SAPTAGIRI EXPRESS,17:45,20:45,03h 00m,162,46,2.98,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
APSRTC - 5424,INDRA(A.C. Seater),18:00,21:00,03h 00m,253,38,4.018,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
APSRTC - 5582,SAPTAGIRI EXPRESS,18:15,21:15,03h 00m,162,46,3.05,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
APSRTC - 5365,SAPTAGIRI EXPRESS,18:45,21:45,03h 00m,162,46,3.8,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
APSRTC - 47485,INDRA(A.C. Seater),19:00,22:00,03h 00m,253,38,3.8,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
NueGo,Electric A/C Seater (2+2),16:35,20:10,03h 35m,238,42,4.42,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
KBS Sree Garuda,A/C Sleeper (2+1),22:30,03:00,04h 30m,463,30,4.2,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
NueGo,Electric A/C Seater (2+2),23:30,03:35,04h 05m,238,42,4.3348,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
Maheswari Travels,Non A/C Seater / Sleeper (2+1),02:00,06:21,04h 21m,600,29,4.317,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
(SBLT) Shri Bhagiyalakshimi Travels (MAARA),A/C Sleeper (2+1),18:00,21:15,03h 15m,760,30,3.6,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
APSRTC - 4468,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:30,20:25,07h 55m,605,33,3.112,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 9334,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),13:00,20:15,07h 15m,929,40,3.557,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 4466,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:15,21:00,07h 45m,605,33,2.124,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 4444,INDRA(A.C. Seater),13:15,22:25,09h 10m,732,34,3.514,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 3067,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,22:50,08h 20m,605,33,4.17,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 4511,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:15,00:01,08h 46m,605,34,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 3009,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:45,00:45,09h 00m,605,31,2.95,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 3492,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),16:00,23:00,07h 00m,929,34,4.051,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 3466,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:30,01:05,08h 35m,605,34,3.58,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 27299,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",16:45,02:15,09h 30m,579,35,4.65,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 2972,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:00,02:15,09h 15m,605,33,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 4381,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:15,01:40,08h 25m,605,33,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 3430,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:15,00:45,07h 30m,929,45,3.915,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 3039,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",17:30,02:30,09h 00m,579,35,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
APSRTC - 3135,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:45,02:30,08h 45m,605,33,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
NueGo,Electric A/C Seater (2+2),21:45,05:30,07h 45m,427,36,4.1109,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
Yolo Bus,A/C Sleeper (2+1),22:20,06:33,08h 13m,500,24,4.6254,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,07:10,07h 25m,464,32,4.5388,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
NueGo,Electric A/C Seater/Sleeper (2+1),20:00,03:45,07h 45m,427,30,4.231,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
Svkdt travels,A/C Seater / Sleeper (2+1),22:00,06:00,08h 00m,500,27,4.4299,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam
BSR Tours And Travels,NON A/C Seater (2+2),23:40,06:00,06h 20m,400,35,4.223,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05:00,05h 20m,400,27,3.411,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,380,23,3.85,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri KVR Travels,A/C Sleeper (2+1),23:58,05:00,05h 02m,480,32,3.2,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,600,32,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Jagan Travels,A/C Seater / Sleeper (2+1),18:00,21:30,03h 30m,650,28,4.1,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
IRA Travels,A/C Sleeper (2+1),18:30,21:45,03h 15m,720,23,3.9,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
Morning Star Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),18:00,21:55,03h 55m,600,29,2.7,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
Orange Tours And Travels,Scania AC Multi Axle Sleeper (2+1),18:15,21:40,03h 25m,500,22,2.48,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
Sri Tulasi Tours and Travels,A/C Sleeper (2+1),16:30,22:30,06h 00m,1949,24,3.4,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TGSRTC - 7062,Super Luxury (Non AC Seater 2+2 Push Back),12:40,15:40,03h 00m,283,31,3.418,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar
TGSRTC - 7178,RAJDHANI (A.C. Semi Sleeper),13:00,16:00,03h 00m,343,35,2.922,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar
DNR Express,AC Sleeper (2+1),21:30,02:00,04h 30m,699,23,2.48,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
SRI SVR travels,A/C Sleeper (2+1),22:20,04:35,06h 15m,3000,30,3.6,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
IPS Bus Service,NON A/C Sleeper (2+1),15:30,20:20,04h 50m,1200,15,1.68,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
New Royal Travels (Raipur),A/C Seater / Sleeper (2+1),15:15,20:00,04h 45m,858,22,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
New Royal Travels (Raipur),A/C Sleeper (2+1),17:30,21:45,04h 15m,1143,36,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Orange Tours And Travels,Volvo Multi-Axle A/C Semi Sleeper (2+2),18:00,22:00,04h 00m,350,34,3.164,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Sahara Tours and Travels,Bharat Benz A/C Seater (2+2),18:00,21:45,03h 45m,400,40,3.743,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Sahara Tours and Travels,A/C Sleeper (2+1),22:30,04:45,06h 15m,550,28,3.7174,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
Orange Tours And Travels,Volvo Multi-Axle A/C Semi Sleeper (2+2),18:00,23:15,05h 15m,400,32,3.5315,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
Savera Tours and Travels,NON A/C Sleeper (2+1),22:15,05:30,07h 15m,599,16,3.611,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
AdMDK TOURS AND TRAVELS,Non A/C Seater / Sleeper (2+1),22:30,05:30,07h 00m,339,26,3.4292,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
BSR Tours And Travels,A/C Sleeper (2+1),23:30,06:00,06h 30m,780,10,4.6144,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
BSR Tours And Travels,A/C Seater / Sleeper (2+1),23:15,06:00,06h 45m,580,22,4.783,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
SAIRAJ TRAVELS,A/C Sleeper (2+1),23:00,05:30,06h 30m,750,19,4.655,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
NueGo,Electric A/C Seater (2+2),22:15,05:25,07h 10m,379,28,4.2302,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad
NueGo,Electric A/C Seater (2+2),14:45,22:10,07h 25m,356,22,4.0209,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,05:45,07h 00m,351,27,4.6376,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad
NueGo,Electric A/C Seater (2+2),22:35,06:35,08h 00m,379,21,4.6333,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06:50,07h 12m,331,34,4.5425,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:30,07:15,07h 45m,552,28,4.5382,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
Orange Tours And Travels,Scania AC Multi Axle Sleeper (2+1),17:00,21:40,04h 40m,600,25,3.517,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad,Godavarikhani to Hyderabad
Morning Star Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),16:30,21:55,05h 25m,600,27,2.7,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad,Godavarikhani to Hyderabad
Mozo travels,A/C Seater / Sleeper (2+1),22:40,05:05,06h 25m,500,26,4.776,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),22:30,05:00,06h 30m,400,26,4.297,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally
NueGo,Electric A/C Seater (2+2),12:45,16:35,03h 50m,356,32,3.915,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad
NueGo,Electric A/C Seater (2+2),13:30,17:35,04h 05m,389,17,4.3,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad
NueGo,Electric A/C Seater (2+2),13:45,17:35,03h 50m,356,22,4.31,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad
TGSRTC - 7471,Super Luxury (Non AC Seater 2+2 Push Back),12:40,16:55,04h 15m,365,28,4.02,https://www.redbus.in/bus-tickets/jagityal-to-hyderabad,Jagityal to Hyderabad
TGSRTC - 7461,Super Luxury (Non AC Seater 2+2 Push Back),13:40,17:50,04h 10m,365,30,3.722,https://www.redbus.in/bus-tickets/jagityal-to-hyderabad,Jagityal to Hyderabad
BSR Tours And Travels,A/C Seater / Sleeper (2+1),22:00,05:30,07h 30m,580,23,4.6254,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
SAIRAJ TRAVELS,A/C Seater / Sleeper (2+1),22:15,05:45,07h 30m,560,29,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
SAIRAJ TRAVELS,A/C Sleeper (2+1),22:15,05:45,07h 30m,750,17,4.5107,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
Ramana Tours And Travels,A/C Sleeper (2+1),20:30,07:50,11h 20m,790,18,4.6703,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
IntrCity SmartBus,AC Sleeper (2+1),22:30,08:05,09h 35m,899,26,4.532,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
Jagan Travels,Scania AC Multi Axle Sleeper (2+1),20:00,07:15,11h 15m,900,22,4.3402,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
TGSRTC - 8104,Super Luxury (Non AC Seater 2+2 Push Back),12:50,16:45,03h 55m,310,31,3.1,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Hyderabad to Armoor
TGSRTC - 7896,Super Luxury (Non AC Seater 2+2 Push Back),12:50,17:45,04h 55m,310,32,3.1,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Hyderabad to Armoor
TGSRTC - 8108,Super Luxury (Non AC Seater 2+2 Push Back),13:30,17:25,03h 55m,310,31,3.1,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Hyderabad to Armoor
Indu Travels,Non A/C Seater / Sleeper (2+1),22:00,04:30,06h 30m,359,35,4.3154,https://www.redbus.in/bus-tickets/hyderabad-to-nandyala,Hyderabad to Nandyal
VEERA BRAHMENDRA TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,04:20,06h 50m,400,24,4.1291,https://www.redbus.in/bus-tickets/hyderabad-to-nandyala,Hyderabad to Nandyal
NueGo,Electric A/C Seater (2+2),12:40,16:15,03h 35m,356,37,3.98,https://www.redbus.in/bus-tickets/hyderabad-to-kodad,Hyderabad to Kodad
NueGo,Electric A/C Seater (2+2),12:40,16:55,04h 15m,356,22,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-kodad,Hyderabad to Kodad
NueGo,Electric A/C Seater/Sleeper (2+1),12:55,15:55,03h 00m,356,22,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-kodad,Hyderabad to Kodad
Kadamba Transport Corporation Limited (KTCL) - 99716,AC Seater (2+2),10:00,10:31,00h 31m,100,41,3.7,https://www.redbus.in/bus-tickets/calangute-goa-to-goa,Calangute (goa) to Goa
Kadamba Transport Corporation Limited (KTCL) - 78627,Volvo AC Seater 2+2,13:30,14:01,00h 31m,100,40,3.7,https://www.redbus.in/bus-tickets/calangute-goa-to-goa,Calangute (goa) to Goa
Kadamba Transport Corporation Limited (KTCL) - 99718,AC Seater (2+2),15:30,16:01,00h 31m,100,41,3.7,https://www.redbus.in/bus-tickets/calangute-goa-to-goa,Calangute (goa) to Goa
UNIQUE TOURS AND TRAVELS,A/C Seater Push Back (2+1),08:30,20:00,11h 30m,400,17,3.2,https://www.redbus.in/bus-tickets/calangute-goa-to-goa,Calangute (goa) to Goa
RSRTC - 174534,Express Non AC Seater 2+3,05:45,12:00,06h 15m,299,42,4.2,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 158798,Super Luxury Volvo AC Seater Pushback 2+2,06:01,11:00,04h 59m,602,12,4.3144,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 146395,Express Non AC Seater 2+3,06:45,14:00,07h 15m,299,42,4.2,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 194255,Express Non AC Seater 2+3,07:45,14:20,06h 35m,299,46,4.2,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 174533,Express Non AC Seater 2+3,08:45,16:00,07h 15m,299,42,4.2,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),17:00,21:30,04h 30m,550,15,4.5287,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
M R Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),06:00,10:25,04h 25m,600,26,4.6427,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),06:15,10:45,04h 30m,550,12,4.4228,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
AdKalpana Travels,NON AC Seater / Sleeper 2+1,22:00,04:54,06h 54m,300,36,3.6101,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
M R Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),17:10,21:55,04h 45m,600,40,4.4421,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),00:40,05:30,04h 50m,700,25,3.3,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),01:10,06:00,04h 50m,700,19,3.3,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Shree Ganesh Travels,A/C Seater / Sleeper (2+1),01:30,05:00,03h 30m,400,12,3.2,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
R.S.Sodha Travels,A/C Seater / Sleeper (2+1),01:45,05:20,03h 35m,660,22,3.4,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Mahadev Travels JOD,A/C Seater / Sleeper (2+1),00:35,03:25,02h 50m,600,42,4.5,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Jain travels regd,A/C Seater / Sleeper (2+1),01:25,05:55,04h 30m,500,40,3.5,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Jain travels regd,NON AC Seater / Sleeper 2+1,01:36,06:12,04h 36m,350,42,3.5,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
Gajraj Travels,A/C Sleeper (2+1),22:15,05:35,07h 20m,600,19,4.6453,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
Jain travels regd,A/C Seater / Sleeper (2+1),23:00,06:00,07h 00m,450,35,4.2254,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
Jain travels regd,A/C Seater / Sleeper (2+1),22:30,05:05,06h 35m,450,32,4.3502,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 194120,Semi Deluxe Non AC Seater 2+2,06:51,14:00,07h 09m,411,35,3.5,https://www.redbus.in/bus-tickets/jaipur-to-aligarh-uttar-pradesh,Jaipur (Rajasthan) to Aligarh (uttar pradesh)
RSRTC - 193591,NON AC Seater / Sleeper 2+1,07:50,15:00,07h 10m,463,34,2.65,https://www.redbus.in/bus-tickets/jaipur-to-aligarh-uttar-pradesh,Jaipur (Rajasthan) to Aligarh (uttar pradesh)
RSRTC - 183714,Express Non AC Seater 2+3,08:50,16:30,07h 40m,369,46,2.014,https://www.redbus.in/bus-tickets/jaipur-to-aligarh-uttar-pradesh,Jaipur (Rajasthan) to Aligarh (uttar pradesh)
RSRTC - 146314,Super Luxury Volvo AC Seater Pushback 2+2,06:15,09:00,02h 45m,339,29,5.011,https://www.redbus.in/bus-tickets/jodhpur-to-beawer,Jodhpur to Beawar (Rajasthan)
RSRTC - 193343,Semi Deluxe Non AC Seater 2+2,07:15,10:35,03h 20m,183,35,3.6,https://www.redbus.in/bus-tickets/jodhpur-to-beawer,Jodhpur to Beawar (Rajasthan)
RSRTC - 185141,Super Luxury Volvo AC Seater Pushback 2+2,07:15,10:00,02h 45m,339,37,3.217,https://www.redbus.in/bus-tickets/jodhpur-to-beawer,Jodhpur to Beawar (Rajasthan)
RSRTC - 168780,Express Non AC Seater 2+3,04:30,10:15,05h 45m,263,41,4,https://www.redbus.in/bus-tickets/jaipur-to-pilani,Jaipur (Rajasthan) to Pilani
RSRTC - 173066,Super Luxury Volvo AC Seater Pushback 2+2,05:45,10:15,04h 30m,440,31,4.228,https://www.redbus.in/bus-tickets/jaipur-to-pilani,Jaipur (Rajasthan) to Pilani
RSRTC - 168788,Express Non AC Seater 2+3,06:20,12:30,06h 10m,263,42,4,https://www.redbus.in/bus-tickets/jaipur-to-pilani,Jaipur (Rajasthan) to Pilani
RSRTC - 189473,NON AC Seater / Sleeper 2+1,02:15,04:30,02h 15m,184,37,3.2,https://www.redbus.in/bus-tickets/kishangarh-to-jaipur,Kishangarh to Jaipur (Rajasthan)
RSRTC - 163978,Express Non AC Seater 2+3,02:30,03:15,00h 45m,120,42,3.2,https://www.redbus.in/bus-tickets/kishangarh-to-jaipur,Kishangarh to Jaipur (Rajasthan)
RSRTC - 190072,Express Non AC Seater 2+3,02:30,05:30,03h 00m,120,42,3.2,https://www.redbus.in/bus-tickets/kishangarh-to-jaipur,Kishangarh to Jaipur (Rajasthan)
RSRTC - 163475,Express Non AC Seater 2+3,06:15,10:30,04h 15m,212,40,2.41,https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
RSRTC - 163476,Express Non AC Seater 2+3,07:30,12:15,04h 45m,212,42,3.9,https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
RSRTC - 157453,Super Luxury Volvo AC Seater Pushback 2+2,07:45,11:30,03h 45m,438,16,3.951,https://www.redbus.in/bus-tickets/pali-to-udaipur,Pali (Rajasthan) to Udaipur
RSRTC - 174534,Express Non AC Seater 2+3,05:45,10:00,04h 15m,212,42,4.2,https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
RSRTC - 158798,Super Luxury Volvo AC Seater Pushback 2+2,06:01,09:30,03h 29m,438,22,4.154,https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
RSRTC - 146395,Express Non AC Seater 2+3,06:45,11:50,05h 05m,212,42,4.2,https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,Udaipur to Pali (Rajasthan)
RSRTC - 173111,Express Non AC Seater 2+3,07:15,14:20,07h 05m,313,41,3.5,https://www.redbus.in/bus-tickets/kota-rajasthan-to-udaipur,Kota(Rajasthan) to Udaipur
RSRTC - 167853,Express Non AC Seater 2+3,08:15,14:30,06h 15m,306,42,3.117,https://www.redbus.in/bus-tickets/kota-rajasthan-to-udaipur,Kota(Rajasthan) to Udaipur
RSRTC - 193190,Express Non AC Seater 2+3,09:20,17:30,08h 10m,340,42,3.5,https://www.redbus.in/bus-tickets/kota-rajasthan-to-udaipur,Kota(Rajasthan) to Udaipur
RSRTC - 165974,Express Non AC Seater 2+3,11:30,17:45,06h 15m,306,41,2.92,https://www.redbus.in/bus-tickets/kota-rajasthan-to-udaipur,Kota(Rajasthan) to Udaipur
RSRTC - 174940,Express Non AC Seater 2+3,03:00,11:35,08h 35m,318,42,3.7,https://www.redbus.in/bus-tickets/jaipur-to-bhilwara,Jaipur (Rajasthan) to Bhilwara
RSRTC - 192786,Express Non AC Seater 2+3,04:15,10:45,06h 30m,258,42,3.7,https://www.redbus.in/bus-tickets/jaipur-to-bhilwara,Jaipur (Rajasthan) to Bhilwara
RSRTC - 146537,Express Non AC Seater 2+3,06:00,13:30,07h 30m,268,42,3.7,https://www.redbus.in/bus-tickets/jaipur-to-bhilwara,Jaipur (Rajasthan) to Bhilwara
UPSRTC - KSN0275,Ordinary Non AC Seater 2+3,21:20,01:54,04h 34m,206,52,3.3,https://www.redbus.in/bus-tickets/jaipur-to-bharatpur,Jaipur (Rajasthan) to Bharatpur
CHANDRA RAJ TRAVELS,A/C Seater / Sleeper (2+1),00:00,04:10,04h 10m,800,36,3.3,https://www.redbus.in/bus-tickets/jaipur-to-bharatpur,Jaipur (Rajasthan) to Bharatpur
Jain travels regd,NON AC Seater/ Sleeper (2+1),01:15,05:15,04h 00m,400,15,3.9,https://www.redbus.in/bus-tickets/jaipur-to-bharatpur,Jaipur (Rajasthan) to Bharatpur
Jain travels regd,NON AC Seater / Sleeper 2+1,01:45,05:35,03h 50m,300,24,3.9,https://www.redbus.in/bus-tickets/jaipur-to-bharatpur,Jaipur (Rajasthan) to Bharatpur
RSRTC - 182569,Express Non AC Seater 2+3,05:30,10:40,05h 10m,270,42,4.01,https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
RSRTC - 194120,Semi Deluxe Non AC Seater 2+2,06:51,12:15,05h 24m,298,31,3.6,https://www.redbus.in/bus-tickets/jaipur-to-mathura,Jaipur (Rajasthan) to Mathura
